"response_id","q1_1","q1_1_1_code","q1_1_2_code","q1_2","q1_2_1_code","q1_2_2_code","q1_3","q1_3_1_code","q1_3_2_code","q1_4","q1_4_1_code","q1_4_2_code","q1_5","q1_5_1_code","q1_5_2_code"
"R_rfsmJN6hLIlKvpT","Qdoba","10","","Crazy Bowls and Wraps","","","Chipotle","2","","","","","","",""
"R_2yg5buTUMIFUiGg","in and out","","","","","","","","","","","","","",""
"R_3g5AkUCViCs9UOw","Olga's","","","Five Guys","","","Q'Doba","10","","Panera","9","","Chipotle","2",""
"R_1GVRG0P4wRfvMPf","Fazolieis","","","LaMesa","","","Cracker Barrel","","","LaPortol","","","Applebees","",""
"R_2sRtT8Cljj9PyJP","KFC","","","Taco Bell","","12","McDonalds","","","Dairy Queen","","","Sonic","",""
"R_2djfs3ZzKaV5jIQ","Panera Bread","","9","Chick-fli-A","","1","Five Guys","","","CaVa","","","Chipolet","2",""
"R_1hYEy2QUbfTbWsI","Jack in box","","","Carl Jr","","","","","","","","","","",""
"R_1H6NcngYRbKxeND","Sonic","","","McDonald’s","","","Kush","","","3kings","","","Knuttsack","",""
"R_aa6b86CyFLcbR3b","Raising Canes","","11","Five Guys Burgers","","","Noodles","","","Crazy Bowls and Wraps","","","Panera Bread","","9"
"R_28Zf9LBCp8Ta8l4","applebees","","","olive garden","","","","","","","","","","",""
"R_ZEkmpjrYkFgke7T","Fazolis","","","","","","","","","","","","","",""
"R_1KkhvJzDF6skMur","Panera","9","","Noodles and Company","","7","","","","","","","","",""
"R_3R8c1pmke6XS2Rt","mod pizza","","","panera","9","","","","","","","","","",""
"R_31XdlkpzyIDVNgw","chipotle","2","","chic fil a","1","","","","","","","","","",""
"R_WjMV7uFrPhKUfbX","Chic-fil-a","1","","Arby's","","","Popeyes","","","KFC","","","","",""
"R_25Hhvimb2isyhGl","None","","","","","","","","","","","","","",""
"R_3dFxJ9l4h4WWfU5","Honeygroe","","","SweetGreen","","","Cava","","","","","","","",""
"R_1dix8yLlubppcNZ","Fazolis","","","Subway","","","Pizza Hut","","","","","","","",""
"R_27UxKlHv9XdHbkW","Chipotle","2","","","","","","","","","","","","",""
"R_rckIHyhqbImmoJH","Fazolis","","","Panera bread co","","9","Qudoba","10","","Crazy bowls and wraps","","","McAllister deli","",""
"R_3I482vhVL7IHdTP","Panera","9","","Sushi Boy","","","","","","","","","","",""
"R_3dXj0Jzq8Dv0MHm","Chick filet","","1","Burger King","","","McDonalds","","","","","","","",""
"R_306jzs5gnrq3xIa","Panera","9","","","","","","","","","","","","",""
"R_pRgoX4inT8znD0d","Red Lobster","","","Pizza Hut","","","Olive Garden","","","Joe's Crab Shack","","","Chiles","",""
"R_shYwLH8ZpFyrHbz","panera","9","","five guys","","","b. good","","","","","","","",""
"R_qI6Pijow21Y2tMZ","burger king","","","mcd","","","wendys","","","taco bell","","12","popeyes","",""
"R_25scgD11axtpObU","5 Guys","","","Panera Bread","","9","Qdoba","10","","Jersey Mikes","4","","","",""
"R_1Ljwp65mCwv45PC","Chipotle","2","","Quodoba","10","","Boston Market","","","Shake Shack","","","Panera Bread","","9"
"R_2YQhzyrfegphaYQ","Qudoba","10","","Chipotle","2","","Long John silvers","","","Panera bread","","9","","",""
"R_2tgLg0e609MjS26","Friendly","","","","","","","","","","","","","",""
"R_RW8HXqI8Yn4mz0B","Shake Shack","","","Habit Burger","","","Chipotle","2","","Qdoba","10","","Naf Naf","",""
"R_2QMTTccr9nSCn64","Panera","9","","chipotle","2","","","","","","","","","",""
"R_2QPxOOJ4fGY28E5","Denny’s","","","Five Guys","","","Subway","","","IHOP","","","Dave and Amy’s","",""
"R_PXxN0F7MkaItJ8B","Red robin","","","","","","","","","","","","","",""
"R_eLmc4PePKzONGal","Taco Bell","","12","","","","","","","","","","","",""
"R_R35WSOBLwvLmAkp","Joes","","","Wests","","","Greys","","","Browns","","","Reds","",""
"R_1Cf076CjFQpJlc6","none","","","","","","","","","","","","","",""
"R_3qesJsIuiEd60qt","Panera bread","","9","Chipotle","2","","","","","","","","","",""
"R_2dTp3pPKE2aBrFo","Culvers","","","Subway","","","","","","","","","","",""
"R_3jUatDjsPrfXWUS","Duncan Donuts","","","Panera","9","","Wendys","","","","","","","",""
"R_1qaJnmngV2CQL0u","none","","","","","","","","","","","","","",""
"R_skbEkIvfchJUATf","burger king","","","none","","","none","","","none","","","none","",""
"R_1lt9gpO1JU7Pgib","Applebee's","","","Ruby Tuesday","","","PF Changs","","","TGI Fridays","","","Chilis","",""
"R_1Nq9CAcvOFIn1Af","applebees","","","texas road house","","","red robin","","","","","","","",""
"R_u9W6KSoxAmgVK2R","Chipotle","2","","Panera","9","","Five guys","","","","","","","",""
"R_R2cfBQ0kuAe7B4J","QDoba","10","","Mod Pizza","","","Chipotle","2","","Pei Wei","","","Noodles& Co","","7"
"R_23dX9c39CoSFwkG","Leo's Coney Island","","","Panda Express","","8","Wingstop","13","","","","","","",""
"R_PwaoWsZDCdWcCxH","Steak n shake","","","","","","","","","","","","","",""
"R_2y257V6d18yNgzk","panera bread","","9","big salad","","","5 guys","","","","","","","",""
"R_6nyPPHfjN5dsJQ5","Steak and shake","","","Dennys","","","","","","","","","","",""
"R_3F5rdXTgBR7Jkl8","Chick fil a","","1","Texas Road house","","","54th street","","","Burger king","","","Apple Bees","",""
"R_21HxEkFV8sxWwPk","Chipotle","2","","McDonald’s","","","Arbys","","","Taco bell","","12","Noodles and company","","7"
"R_2XjvYN5gzrj7TzS","mcdonalds","","","arbys","","","jimmy johns","5","","burger kind","","","panera","9",""
"R_elWF29lOsOnflKN","Panera","9","","Chipoltle","2","","Noodles","","","Potbellys","","","Blaze Pizza","",""
"R_3sn4I0IbQLcmUHZ","Na","","","Na","","","Na","","","Na","","","Na","",""
"R_2q3odkXZVHBHXQN","Doctor","","","Nurse","","","Firefighters","","","Policeman","","","Chef","",""
"R_1hKM5EoxIlb7lVV","taco bell","","12","chick fil a","","1","mr burger","","","panera","9","","applebees","",""
"R_1E5v1bWzjUKm9OI","Panera","9","","McAllister","","","Chipotle","2","","Mod","","","Daily Bread","",""
"R_3Jtkd5i5EWVxxIG","Bgood","","","Tasty Burger","","","Panera Bread","","9","","","","","",""
"R_yD5h8QodM5M11Dj","Panera","9","","Chick-Fil-A","","1","Five Guys","","","Fudd Ruckers","","","Chipotle","2",""
"R_aXHibzWtDXI9RpD","None","","","","","","","","","","","","","",""
"R_3R3AYjsM5Pd7BPI","Chick Fil A","","1","Chipotle","2","","Bread Co","","","Qdoba","10","","Subway","",""
"R_1hyydavgKqLkoj8","Panera","9","","Chipotle","2","","","","","","","","","",""
"R_2Vyc3puxkUKgXkM","Culver’s","","","KFC","","","","","","","","","","",""
"R_1Pe1AEAfqpYGedt","IVARS","","","MOD","","","ARBYS","","","","","","","",""
"R_PLfFlXbfJyDjSBX","Panera","9","","Panda Express","","8","Chipotle","2","","Sushi AI","","","","",""
"R_CfYI9VjfuaQIFpf","mc","","","bk","","","","","","","","","","",""
"R_1nN2tMkhz2A93cW","Panera","9","","","","","","","","","","","","",""
"R_3JeIaT0W3DhuRvY","Red Robin","","","Chilis","","","Dennys","","","TGI Fridays","","","Chipotle","2",""
"R_ByugsFXWEFdmpB7","I-hop","","","dennys","","","steak and shake","","","3 guys burger","","","buffalo wild wings","",""
"R_Xv5Jq0zbXBhfz2x","Qdoba","10","","","","","","","","","","","","",""
"R_1HitLJ0xH8S3mHm","panera","9","","chic fil a","1","","","","","","","","","",""
"R_2wp4hwnrzZMOmKL","Quiznos","","","Paneras","9","","Arbys","","","Fudruckers","","","","",""
"R_3npWYb48Yzj7p41","Ruth","","","Longhorn","","","Applebee's","","","Chilis","","","","",""
"R_d6m5hhEWnBovp1n","Taco bell","","12","Mcdonalds","","","Wendy’s","","","Subway","","","Jack n box","",""
"R_3RqnkplyGYabt2o","arby","","","kfc","","","chilli","","","starbucks","","","","",""
"R_2wNf9HF6MeLN8VJ","qdoba","10","","","","","","","","","","","","",""
"R_ZvFEARibGHfWjCx","PANERA","9","","boston market","","","zoup","","","","","","","",""
"R_3mk5fMtMpwvoHUf","Mod Pizza","","","Panera","9","","","","","","","","","",""
"R_31yiTXk004mNxfZ","Qdoan","10","","Panera","9","","","","","","","","","",""
"R_vfvfvZjsBHSs1Jn","Shake Shack","","","Panera","9","","","","","","","","","",""
"R_2t9JqYKDkL8EEo8","Panera","9","","Starbucks","","","Chipotle","2","","Moes","6","","Cosi","",""
"R_21nUIN2kxUFeh3Y","Red Robin","","","Waffle House","","","McAlisters","","","Panera Bread","","9","","",""
"R_eDTFzZdIy0VfUkh","Chickfila","","1","Taco bell","","12","Panera","9","","","","","","",""
"R_e9fJCsvAFs7UPtv","Chick-Fil-A","","1","KFC","","","Arby's","","","Burger King","","","Taco Bell","","12"
"R_71ynr5Xii818y6l","culvers","","","five guys","","","chipotle","2","","panera","9","","chic fi la","1",""
"R_1JW8xytNZVvzTij","buffalo wild wings","","","chilis","","","fridays","","","","","","","",""
"R_3QLbYWos66qS4NB","PANERA","9","","","","","","","","","","","","",""
"R_2bKlLTSsQFGwtx3","None","","","","","","","","","","","","","",""
"R_1gTkFViQIgaXiFo","Chick fil a","","1","McDonald’s","","","Raising canes","","11","Burger king","","","Wendys","",""
"R_brOTKdp2un3m5Oh","Salad Works","","","Chipotle","2","","Moes","6","","","","","","",""
"R_C7w5oxB0Y6MBCb7","kfc","","","pizza hut","","","burger king","","","taco bell","","12","jimmi johns","5",""
"R_3Gv1DQdspmKCfdx","Panera","9","","Zoup","","","Chipotle","2","","","","","","",""
"R_29lZz4pEzqb7WGq","None","","","","","","","","","","","","","",""
"R_XhrBOc7oysoZDtD","Chic Fil A","1","","Panera","9","","McAlister's","","","","","","","",""
"R_UmRqnTfkQ8VdFrb","none","","","","","","","","","","","","","",""
"R_2Ev0HAtaGKik3KW","Qdoba","10","","Chipotle","2","","Hummus","","","Five Guys","","","Sweet Green","",""
"R_74HrsFyut0vaW2t","Qdoba","10","","Panda express","","8","","","","","","","","",""
"R_1jUQXEygtMIHi4t","McDonald's","","","Wendy's","","","Chick fila","","1","Subway","","","Burger king","",""
"R_2CV1wRpbr6PTk1c","McDonald’s","","","Burger king","","","Wendys","","","Sonic","","","Dunkins","",""
"R_yNGkJVB9Usg9s9b","Wendy’s","","","","","","","","","","","","","",""
"R_1IEObHQyv41yBHq","mcdonalds","","","taco bell","","12","arbys","","","in n out","","","kfc","",""
"R_SNWDG0YoLcuACUV","Popeyes","","","Subway","","","","","","","","","","",""
"R_2xSkAlaelqabGAQ","Arbys","","","Hardees","","","Burger King","","","Taco Bell","","12","Wendys","",""
"R_2avCQ7a5me0R1UR","Denny's","","","Cracker Barrel","","","Bob Evans","","","","","","","",""
"R_2rxxjH1iMLAWYjB","Bzbzhzhd","","","","","","","","","","","","","",""
"R_4OPRPcRyT1Jw4wx","Popeyes","","","McDonald’s","","","Chick-fil-A","","1","Taco Bell","","12","Sonic","",""
"R_2rxDCg19PCXfUu8","none","","","","","","","","","","","","","",""
"R_33k8oSpz5ZRbOj7","Chili's","","","Apple bees","","","Tgi fridays","","","Coney island","","","Leos oven","",""
"R_3PirPxA1qjc5iN3","None","","","","","","","","","","","","","",""
"R_1KfZs6jTK24Zmh4","None","","","","","","","","","","","","","",""
"R_3sihEPSEofRQKht","Olivve Garden","","","Chili's","","","Applebee's","","","Red Robin","","","Sheri's","",""
"R_1OGFYdgHji3jdqe","Mc Donalds","","","","","","","","","","","","","",""
"R_2qfT6qTu2HadEb8","Logans","","","Texas Road House","","","Carrabas","","","Olive Garden","","","Buffalo Wild Wings","",""
"R_12QHkYWzuujKDq4","Chipotle","2","","Five guys","","","Chick fil a","","1","Pancheros","","","","",""
"R_1QiTjjdpGUuUb8b","Big boy","","","","","","","","","","","","","",""
"R_XhySLMq3j1SnkWZ","McDonald's","","","Burger King","","","","","","","","","","",""
"R_3k5ktyuEadnu0Im","Perkins","","","Applebees","","","TGI-Fridays","","","Olive Garden","","","Texas Roadhouse","",""
"R_3gR9VOiyLtUmf62","Chipotle","2","","Applebees","","","Chilis","","","Buffalo wild wings","","","Olive garden","",""
"R_1HozMkPrmBDGmWF","None","","","","","","","","","","","","","",""
"R_1PdijXAAdiUuorE","Five guys","","","Firehouse subs","3","","","","","","","","","",""
"R_1P1wm8XdpvtlK2R","red robin","","","applebees","","","mcdonalds","","","","","","","",""
"R_2CsndAWlvd2M7rU","chipotle","2","","qdoba","10","","tom and cheese","","","","","","","",""
"R_2Yyu5A00z5zoHeQ","Arby's","","","Five guy's","","","","","","","","","","",""
"R_cLWKgvJBpf9EPmh","McDonald’s","","","Chipotle","2","","Firehouse subs","3","","Chick-fil-a","","1","Rubios","",""
"R_1CEBsv1g9kZ1Fei","chipotle","2","","panera","9","","starbucks","","","dunkin","","","","",""
"R_2CQDsLsvMqKAoqM","Raising Canes","","11","chicfla","1","","","","","","","","","",""
"R_31zMUOjETW3XXuC","applebees","","","tgifridays","","","cheddars","","","moes","6","","texas roadhouse","",""
"R_BD4eInxZNvjA5up","7","","","8","","","9","","","6","","","8","",""
"R_6PSt5zm4XwmwWdP","Burger King","","","Mcdonalds","","","KFC","","","","","","","",""
"R_2B3h5tVnT5Eeq3a","Cookout","","","Dairy Queen","","","","","","","","","","",""
"R_rdRINCG0R1xU0Nj","Applebees","","","","","","","","","","","","","",""
"R_2fxKEIjhUJ9Wzde","chipotle","2","","qdoba","10","","panera","9","","","","","","",""
"R_2eb7FqF6S8IjNVu","Red robin","","","Ihop","","","Denny’s","","","Chick fil a","","1","Mc donalds","",""
"R_24BkO3GT8uxFuCZ","subway","","","taco bell","","12","","","","","","","","",""
"R_2WMSo86flkZlc2H","panera bread","","9","five guys","","","","","","","","","","",""
"R_aWtbW1rYBeOuKoF","Panera","9","","Chick Fil a","","1","","","","","","","","",""
"R_29aJfoXUKPokK4Q","Chipotle","2","","Subway","","","Jimmy Johns","5","","Quiznos","","","","",""
"R_1q9fIjdpvSd2icG","dominoz","","","pizza hurt","","","burger king","","","","","","","",""
"R_Om15omfjUiyt8Ep","None","","","Nonr","","","None","","","None","","","None","",""
"R_1gUfgBXdeeKwgFP","panera","9","","","","","","","","","","","","",""
"R_2q1mslpcI2rWYxB","chipotle","2","","kfc","","","harvest","","","honeygrow","","","","",""
"R_2E0MvFHr5R8eDi6","chipotle","2","","portillos","","","shake shack","","","noodles and co","","7","sweet green","",""
"R_1LwFTg5y2pKRj2p","Subway","","","Taco bell","","12","","","","","","","","",""
"R_2Bh5NAbpOc35VNT","none","","","","","","","","","","","","","",""
"R_daRnA5oWijXYvAZ","Applebee's","","","Dave and Buster's","","","Texas Roadhouse","","","Longhorn steakhouse","","","Golden corral","",""
"R_3lXCAFj4xPL01H9","fazolis","","","panera","9","","5 guys","","","","","","","",""
"R_pSPPKURLstVq3jr","none","","","","","","","","","","","","","",""
"R_3QKRtC5drvCFiO0","arby's","","","mcdon","","","burger king","","","jackinthebox","","","","",""
"R_2bWa6RPMyhuTRKX","Five Guys","","","Hip City Veg","","","Q’doba","10","","Semper Fi Burger","","","","",""
"R_a3ME4JEtHWNEygF","Chick-Fil-A","","1","McDonalds","","","Burger King","","","Arby's","","","Taco Bell","","12"
"R_3HBqXLT9egMOG0D","Panera","9","","Sonic","","","Chick Fil A","","1","Qdoba","10","","Chipotle","2",""
"R_3D1InOvS4y9nufG","None","","","","","","","","","","","","","",""
"R_3jSBxUdNKBmOuB4","wendy's","","","denny's","","","taco bell","","12","kfc","","","burger king","",""
"R_pxwtsn7wsR4veLv","burger king","","","chilis","","","wendys","","","quiznos","","","subway","",""
"R_3ERNUeFusdiCW3j","Chipotle","2","","","","","","","","","","","","",""
"R_x4wctxaKP1POE6d","Five guys","","","Qdoba","10","","Chipotle","2","","Baja fresh","","","Panera","9",""
"R_BtQbmWG0pBtd6Cd","Red robin","","","Olive garden","","","","","","","","","","",""
"R_OQoUlgnfMVgZ2Zr","Dennys","","","Sharris","","","Ihop","","","","","","","",""
"R_31AtOFWLfBdXpgp","McDonald's","","","Burger King","","","KFC","","","Wendy's","","","","",""
"R_3RaSxswkm8ByHAY","Outback Steak House","","","Chilis","","","Macaroni Grill","","","Bailys","","","","",""
"R_1FePbgTqeZv9PkY","Panera bread","","9","Subway","","","","","","","","","","",""
"R_1FaelOfKor8HIyE","Buffalo wild wings","","","McDonald’s","","","Burger King","","","","","","","",""
"R_1LvXwIpYdfCYT9r","taco bell","","12","mcdould","","","","","","","","","","",""
"R_1ilmGTKEE9YELf5","None","","","","","","","","","","","","","",""
"R_9vQgvdgQer22VSV","Chipotle","2","","Red Lobster","","","","","","","","","","",""
"R_1oF6y7Lqpk3XUYP","Sagebrush","","","Texas roadhouse","","","Italia gardens","","","Olive Garden","","","","",""
"R_sSiKjlcp64k3v57","TGI FRIDAYS","","","Five guys","","","Olive garden","","","Buffalo wild wings","","","Applebees","",""
"R_OHxrgSPBIfdFFeN","Five guys","","","","","","","","","","","","","",""
"R_28TeUqeAjZS5dbh","Cousins Pizza","","","Applebees","","","Taco bell","","12","Mc Donald's","","","Burger king","",""
"R_1l6ssakovDQ4Nlr","None","","","","","","","","","","","","","",""
"R_26nDLK7Zx1HtwM1","none","","","","","","","","","","","","","",""
"R_2zHBMSPJS3DAfZ3","Panera","9","","Noodles","","","","","","","","","","",""
"R_26hxMXo6Ukx3lMS","TGI Fridays","","","Apple Bees","","","Chillis","","","Stake n Shake","","","Cracker Barrel","",""
"R_1QB2IC23X8I7MnB","Chipolte","2","","Five Guys","","","Quodoba","10","","Panera","9","","Potbelly","",""
"R_3ikhfAfNDDwQuES","Habit Burger","","","Chipotle","2","","Jersey Mikes","4","","In n Out","","","","",""
"R_3RaMyOhZfxrqhXB","Taco Bell","","12","McDonalds","","","Burger King","","","Carls JR","","","Del Taco","",""
"R_3MRTvf3IaIZoy56","McDonalds","","","Wendy’s","","","Burger King","","","Subway","","","Arbys","",""
"R_3qKmBs5isr2pL72","Friday's","","","Applebees","","","","","","","","","","",""
"R_VKoMgXAKqwtHKE1","Tgifriday","","","Outback","","","Kobe’s","","","Chillis","","","Texas roadhouse","",""
"R_1eWRhY0lOJHWyWF","Chilis","","","Applebee’s","","","","","","","","","","",""
"R_XTfXo6JC22mzse5","mcdonalds","","","arbys","","","bk","","","chick fl lay","","1","wendys","",""
"R_1DI56zWGjwPFKAD","Olive garden","","","Texas road house","","","Cracker barel","","","applebees","","","","",""
"R_3erax8zYjSnC1z5","Kfc","","","Popeyes","","","McDonald's","","","Burger King","","","Ihop","",""
"R_Olp8GOZhluQfrxL","burger king","","","mcdonalds","","","wendys","","","","","","","",""
"R_xFrp2Cj1TEck9R7","Newcomb Farms","","","Friendlys","","","McDonalds","","","Wendys","","","","",""
"R_2ZIb6hkBY57vsOh","Nine","","","","","","","","","","","","","",""
"R_3ni04Ab5g4H47Ho","Red Robin","","","","","","","","","","","","","",""
"R_3HtyaCeeJ0jlnGV","Applebee's","","","Denny's","","","Shoney's","","","Red Lobster","","","Olive Garden","",""
"R_3hilWqL11E81mbT","Blaze Fast-Fire'd Pizza","","","Eatsa2016","","","By Chloe2016","","","","","","","",""
"R_3NQhmTZpdOHitrJ","MCDONALDS","","","BOSTON MARKET CHICKEN","","","","","","","","","","",""
"R_3CJEMxLCZserjg9","Chipotle","2","","TGI Fridays","","","Wendys","","","chick fil a","","1","in & out","",""
"R_2QgigjhULuULqpk","Wendy's","","","Arby's","","","Culver's","","","Burger King","","","McDonald's","",""
"R_3DvypQ4k7jf6g5k","applebees","","","chilis","","","paneras","9","","pizza hut","","","golden corral","",""
"R_1JKsReP24LFZStK","Canes","","","Panera","9","","","","","","","","","",""
"R_1rGFOyVY5gsVPWm","Five Guys","","","","","","","","","","","","","",""
"R_3fBH4NHf83HfZh7","Applebee’s","","","McDonald","","","Chipotle","2","","Chilli’s","","","Burger King","",""
"R_2COGeaSNChGSjZY","Red robin","","","Steak and shake","","","Qdoba","10","","Chioptle","2","","Del taco","",""
"R_1QGTD5pkYLKqf3p","none","","","none","","","none","","","none","","","none","",""
"R_d1itv8pTgSaZ0c1","National Coney Island","","","Big Boy","","","Five Guys","","","Denny's","","","Pizza Hut","",""
"R_1JL9xXcrQhLPkFE","Kentucky Fried Chicken","","","Popeye's Chicken","","","Church's Chicken","","","McDonalds","","","A&W","",""
"R_301U5gNTxrvrq9o","McDonalds","","","taco bell","","12","Wendys","","","Burger king","","","Subway","",""
"R_TpwXT4BcgIh4ZRD","Checkers","","","Mcdonalds","","","Burger king","","","Ihop","","","Wendys","",""
"R_25ZOoYAMC9LROXO","Kfc","","","Arbys","","","","","","","","","","",""
"R_1roG6shQ0PLMSiA","Applebee's","","","Ruby Tuesday","","","Chilli's","","","Red Robin","","","Cracker Barrel","",""
"R_3nC1q9z8MUvI5Xf","golden coral","","","red lobster","","","gordens","","","pizza hut","","","sea food","",""
"R_z1CQjKc7zFrDpGV","Chili's","","","Chipotle","2","","Subway","","","","","","","",""
"R_290bww2qflJnwCG","taco bell","","12","pizza hut","","","domino pizza","","","","","","","",""
"R_VQKdbqsj4AHvqdr","red robin","","","fudruckers","","","","","","","","","","",""
"R_3qIGebjFRJHWurs","McDonald's","","","burger king","","","","","","","","","","",""
"R_3fAxVb9GRaNdHGX","Chiptole","2","","","","","","","","","","","","",""
"R_3oMeK4RwhJpSQBP","None","","","","","","","","","","","","","",""
"R_1jy4q8v2asP2Hzq","Simply thai","","","Cheese cake factory","","","Apple bees","","","Red Robin","","","Shake shack","",""
"R_1pK9j3kkcOpBlz7","Kfc","","","Mcl","","","Applebees","","","Oliver  garden","","","Longhorn steakhouse","",""
"R_PSAFjUohhZXklAB","Taco bell","","12","Mcdonalds","","","Red lobster","","","White Castle","","","Indis Chicken","",""
"R_2BhAkTP5M01zhEd","Bertuccis","","","Tgi Fridays","","","Bone Fish Grill","","","","","","","",""
"R_A1lb1xUBEHmlLUZ","Ihop","","","Applebee’s","","","DEnnys","","","","","","","",""
"R_aUYZqjUjnRVkFln","Five Guys","","","","","","","","","","","","","",""
"R_z722biw1A7HmH8B","Panera","9","","Irie","","","","","","","","","","",""
"R_1eQ8RyiMrFXjyNg","McDonalds","","","Burger King","","","Wendy's","","","Popeye's","","","","",""
"R_2ALkrbrsAJUaXmB","Wendy’s","","","Mcdonalds","","","Chipotle","2","","Fridays","","","Taco bell","","12"
"R_OPdVBqzmF00haPD","Chili’s","","","IHOP","","","Village Inn","","","","","","","",""
"R_3gYP15rC64g2zDn","boston market","","","ihop","","","subway","","","kfc","","","mcdonald's","",""
"R_2tg1VyRd27m6fgC","panera","9","","","","","","","","","","","","",""
"R_2fk3ZH2igWmHz8s","None","","","","","","","","","","","","","",""
"R_ZIVUA8pFF0UkSsx","Don Jilberto's","","","Western Sizzlin'","","","","","","","","","","",""
"R_3qxrzEp9WeAPIy8","Burger king","","","","","","","","","","","","","",""
"R_1llzlNrMNfbfD2A","Fire house subs","3","","Mod pizza","","","Subway","","","","","","","",""
"R_2rIT7hRrsUJ4YHN","Royal Diner","","","National Coney Island","","","Big Boys","","","","","","","",""
"R_3LgSRmlJvECOxHf","McDonald’s","","","Wendy’s","","","Burger king","","","Popeyes","","","Pizza Hut","",""
"R_3NzfcOk8FZ32XtW","panera bread","","9","chipotle","2","","qdoba","10","","","","","","",""
"R_1hZ2a8Ew07BxJgX","wendys","","","arbys","","","pizza hut","","","","","","","",""
"R_zcmPA3ZznqaNjwZ","Culvers","","","Panera","9","","","","","","","","","",""
"R_Tiv40PNemFWm5sR","Big Als","","","Qudoba","10","","Illegal Petes","","","","","","","",""
"R_24NMKK2aIKw71Nj","Five guys","","","PanerA bread","","9","","","","","","","","",""
"R_1GE55Kr9WoAEqVH","McDonalds","","","Taco time","","","Burger King","","","Arbys","","","Pizza hut","",""
"R_3LjrPEB4WF3bLi8","none","","","","","","","","","","","","","",""
"R_3rHuMcHkANxQzMK","Wendy's","","","Chick-fil-a","","1","Arby's","","","Dairy Queen","","","Qdoba","10",""
"R_DwO87p8ktrbQzst","Fridays","","","Applebees","","","Olive garden","","","Pf chang","","","","",""
"R_3FPeQs5N7KdnFtu","wendy's","","","taco bell","","12","mcdonals","","","","","","","",""
"R_4168vklxEeYn6iB","Five guys","","","","","","","","","","","","","",""
"R_x0l7UMzNZQn9za1","Bob Evans","","","McDonald's","","","Subway","","","Burger King","","","Rax","",""
"R_3kLqpyEgpPPAGvB","Mcdonalds","","","","","","","","","","","","","",""
"R_O22lDFpTsDGyiNb","Chinese","","","Papa Johns","","","Five Guys","","","Stewerts","","","","",""
"R_31QRdKh2BVX9VxU","McDonald’s","","","Wendy’s","","","","","","","","","","",""
"R_2DOk3aHE0eS427C","Chick fil let","","1","Popeyes","","","Mc Donald’s","","","Burger King","","","Arbys","",""
"R_2dmWHiptuefLJPu","Subway","","","Highway Diner","","","Runza","","","","","","","",""
"R_T7tpP2gMWS5UPKx","none","","","","","","","","","","","","","",""
"R_zf2Zanx4HQvzPHj","Fat Shack","","","","","","","","","","","","","",""
"R_2VjTcxmcHz1aPm7","Macdonaldz","","","wendy","","","","","","","","","","",""
"R_1pu4MlaoxxddXis","Taco Bell","","12","Jack in the Box","","","Panera","9","","Mcdonalds","","","","",""
"R_1F50trLqBIM1JbF","5 guys","","","panera","9","","chipotle","2","","noodles and company","","7","","",""
"R_3exAmaB9lobcWfg","Golden coral","","","Ryans steak house","","","Panda express","","8","","","","","",""
"R_1pMbsUXwMDBzxLq","kfc","","","mcdonalds","","","subway","","","burger king","","","panera","9",""
"R_3jUutbYnlQ5fYpg","Mcdonalds","","","None","","","Panda express","","8","None","","","The cheesecake factory","",""
"R_3nDdNOs5NGdqkeZ","McDonalds","","","Burger King","","","Jack in the box","","","Del Taco","","","Wendys","",""
"R_2RUG05DDTBa1MRL","None","","","","","","","","","","","","","",""
"R_sKW5VAhLTZUtGuZ","none","","","","","","","","","","","","","",""
"R_ag8ws81uSQNxjNL","McDonald's","","","","","","","","","","","","","",""
"R_PXtdRElNm4e8xEd","Uber eats","","","Grub hub","","","","","","","","","","",""
"R_2xP20SdYOiisBvc","Taco bell","","12","Jack in the box","","","Mcdonalds","","","Burger King","","","","",""
"R_9ZyZWwKhEm5jLxL","Panera","9","","","","","","","","","","","","",""
"R_Zk4NjXOlaM2bVjr","ryans","","","aspen creek","","","hometown pizza","","","arbys","","","none","",""
"R_2CdkPdLeuJIGhLn","Apple bees","","","99's","","","Olive garden","","","Friendlys","","","Tgif","",""
"R_2y4pdy5wlbTuyWW","Qdoba","10","","Panera","9","","","","","","","","","",""
"R_29voenxiKsv2tQx","Culver’s","","","","","","","","","","","","","",""
"R_2WUTShbcuJqlvz6","None","","","","","","","","","","","","","",""
"R_3OpQsSeyixQCm6I","Chipotle","2","","Qdoba","10","","Mod","","","","","","","",""
"R_3ekTweXJXRIy5Z4","none","","","","","","","","","","","","","",""
"R_126hbqUr2rUydR4","moes","6","","","","","","","","","","","","",""
"R_2rAvVa0DHfvrE6u","Chick fil a","","1","Red robin","","","Wendy’s","","","Taco bell","","12","","",""
"R_7NJ0OLy2VhR7xjb","McDonalds","","","Wendys","","","Jack in a Box","","","Chipoltle","2","","Burger King","",""
"R_3fcOpQIyr52TSc8","Panera","9","","","","","","","","","","","","",""
"R_3PReX9UVVHUZUqI","Cheesecake Factory","","","Red Robin","","","Claim Jumper","","","Red Lobster","","","Olive Garden","",""
"R_3qkTa7dEukaaElo","Stake n shake","","","Denny’s","","","","","","","","","","",""
"R_265UpUPvKswwTmb","Texas Roadhouse","","","Applebee’s","","","Bob Evans","","","IHOP","","","T.G.I. Friday’s","",""
"R_1oH0TPzhR2PTsH2","Chipotle","2","","Chopped","","","Panera Bread","","9","","","","","",""
