"response_id","q1_1","q1_1_1_code","q1_1_2_code","q1_2","q1_2_1_code","q1_2_2_code","q1_3","q1_3_1_code","q1_3_2_code","q1_4","q1_4_1_code","q1_4_2_code","q1_5","q1_5_1_code","q1_5_2_code"
"R_31Wyl7JQFhCe5MV","applebees","","","","","","","","","","","","","",""
"R_1i8K2A5dyjmUSSj","qdoba","10","","chick-fa la","","1","mexcian grill","","","chipotle","2","","none","",""
"R_1l6jjo0GdWY5AHg","mcdonald's","","","burger king","","","applebee's","","","kentucky fried chicken","","","","",""
"R_1pYzzYLZ3WcCNiI","None","","","","","","","","","","","","","",""
"R_PHVYle5jL5eSLEB","Jimmy johns","5","","Smash burger","","","None","","","None","","","None","",""
"R_10oSW0LtTjKcwfg","Red Robin","","","Bertucchis","","","","","","","","","","",""
"R_3Hj1IJM9wD8Yx1k","none","","","","","","","","","","","","","",""
"R_1rP668HKsec4995","Five Guys","","","Chipotle","2","","","","","","","","","",""
"R_Clv092jHSDeJyy5","arby's","","","applebee's","","","wild willy's","","","culver's","","","denny's","",""
"R_3dTdpBfdMQxtKZB","panera bread","","9","","","","","","","","","","","",""
"R_1ir3dtfhelmzPQX","Olive Garden","","","Red Robin","","","Red Lobster","","","Texas Road House","","","Green Turtle","",""
"R_Aj6hC3MOkIsB5hn","mcdonald","","","wendy","","","ihop","","","","","","","",""
"R_1gpW3i9ooCqGIw5","Chipotle","2","","","","","","","","","","","","",""
"R_1jJ2CHuPe5i94W4","Taco Johns","","","Burritoville","","","China Wok","","","","","","","",""
"R_1QnCkMvLbt3VNzq","Kentucky Fried Chicken","","","Lee’s Chicken","","","Subway","","","Imos","","","Sonic Drive Inn","",""
"R_22qZgAZn68yLQHj","Blu Taco","","","","","","","","","","","","","",""
"R_25A44zB2kB4RUWh","Chic- fila","1","","McDonald’s","","","Wendy’s","","","Taco Bell","","12","Panda Express","","8"
"R_2VR24EhWTgRl14B","Mcdonalds","","","Jack in the box","","","Burger king","","","Hardees","","","Taco bell","","12"
"R_1gT7oE162ggKCUV","panera","9","","chipotle","2","","daily bread","","","","","","","",""
"R_1pxncbzl27SpmYa","None","","","","","","","","","","","","","",""
"R_1BVFl1qj6AgGxbr","Applebee’s","","","","","","","","","","","","","",""
"R_W27pe9DcReYiged","Olive Garden","","","54th Street Grill","","","Red Robin","","","Ruby Tuesday","","","Panera","9",""
"R_cSzaJ3IQGB5wUlX","raising canes","","11","firehouse subs","3","","stl bread co","","","","","","","",""
"R_vcOFHhNE8drdXnX","Mc danolds","","","Burger king","","","Popeyes","","","Wendys","","","Taco bell","","12"
"R_2TGbemuK0NBd017","Rallys","","","McDonald's","","","Burger king","","","Wendy's","","","Sonic","",""
"R_2Pu54wXsXbZd2Ih","None","","","","","","","","","","","","","",""
"R_2YKBcjsoQ8B5hw2","None","","","","","","","","","","","","","",""
